"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs17236768-<b>?</b>,"8 x 10-7",,NR,'-,'-,'-,LINC01909,"Milk allergy (parent-of-origin effect)","milk allergy measurement, parental genotype effect measurement",GCST005726,18:70340385
rs1243607-<b>?</b>,"5 x 10-6",,NR,'-,'-,'-,"RNASE9, AL163195.3","Milk allergy (parent-of-origin effect)","milk allergy measurement, parental genotype effect measurement",GCST005726,14:20581400
rs2254746-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,KLF17,"Milk allergy (maternal genetic effects)","milk allergy measurement, parental genotype effect measurement",GCST005722,1:44133088
rs3848374-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,MGRN1,"Milk allergy (maternal genetic effects)","milk allergy measurement, parental genotype effect measurement",GCST005722,16:4624148
rs17023017-<b>G</b>,"7 x 10-7",,0.122,1.54,'-,'-,BMPR1B,"Hen's egg allergy","egg allergy measurement",GCST004977,4:95103943
rs1243064-<b>A</b>,"8 x 10-8",,0.259,1.65,'-,'-,"SERPINB2, SERPINB7","Hen's egg allergy","egg allergy measurement",GCST004977,18:63846741
rs12227569-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,GRIN2B,"Egg allergy (parent-of-origin effect)","egg allergy measurement, parental genotype effect measurement",GCST005725,12:13659623
rs131025-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,TAFA5,"Egg allergy (parent-of-origin effect)","egg allergy measurement, parental genotype effect measurement",GCST005725,22:48779197
rs1550286-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,"RPSAP49, AL451142.2","Egg allergy (parent-of-origin effect)","egg allergy measurement, parental genotype effect measurement",GCST005725,9:88232441
rs1343795-<b>?</b>,"4 x 10-7",,NR,'-,'-,'-,ZNF652,"Egg allergy (maternal genetic effects)","egg allergy measurement, parental genotype effect measurement",GCST005728,17:49334880
rs10471966-<b>?</b>,"3 x 10-6",,NR,'-,'-,'-,AC008892.1,"Egg allergy (maternal genetic effects)","egg allergy measurement, parental genotype effect measurement",GCST005728,5:56068744
rs2303921-<b>?</b>,"3 x 10-6",,NR,'-,'-,'-,TAF1B,"Egg allergy (maternal genetic effects)","egg allergy measurement, parental genotype effect measurement",GCST005728,2:9918968
rs6441713-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,"NDUFA4P2, MIR548AB","Egg allergy (maternal genetic effects)","egg allergy measurement, parental genotype effect measurement",GCST005728,3:103266621
rs10124568-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,"AC068050.1, RPS15AP27","Egg allergy (maternal genetic effects)","egg allergy measurement, parental genotype effect measurement",GCST005728,9:107981011
rs17664036-<b>C</b>,"2 x 10-6",,0.059,2.02,'-,'-,KIZ,"Peanut allergy","peanut allergy measurement",GCST004980,20:21239574
rs4896888-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,ADGB,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,6:146777855
rs758147-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,AC005330.1,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,19:1322313
rs3786829-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,RYR1,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,19:38523544
rs7290369-<b>?</b>,"5 x 10-6",,NR,'-,'-,'-,MIATNB,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,22:26747356
rs16973813-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,ATP2C2,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,16:84445975
rs998706-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,FAM118A,"Peanut allergy (maternal genetic effects)","peanut allergy measurement, parental genotype effect measurement",GCST005723,22:45339725
rs1830169-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,"LINC00992, AC114322.1","Peanut allergy (maternal genetic effects)","peanut allergy measurement, parental genotype effect measurement",GCST005723,5:117713030
rs10161215-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,MRPL42,"Peanut allergy (maternal genetic effects)","peanut allergy measurement, parental genotype effect measurement",GCST005723,12:93494763
rs17073303-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,PLAGL1,"Peanut allergy (maternal genetic effects)","peanut allergy measurement, parental genotype effect measurement",GCST005723,6:144034900
rs2212434-<b>T</b>,"9 x 10-11",,0.459,1.29,'-,'-,"EMSY, AP001189.2","Food allergy","food allergy measurement",GCST004979,11:76570549
rs12964116-<b>G</b>,"2 x 10-8",,0.050,1.9,'-,'-,SERPINB7,"Food allergy","food allergy measurement",GCST004979,18:63775385
rs7566508-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,EML6,"Food allergy (parent-of-origin effect)","food allergy measurement, parental genotype effect measurement",GCST005721,2:54951869
rs4862495-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,LINC02436,"Food allergy (parent-of-origin effect)","food allergy measurement, parental genotype effect measurement",GCST005721,4:185051943
rs2273971-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,PROZ,"Food allergy (parent-of-origin effect)","food allergy measurement, parental genotype effect measurement",GCST005721,13:113158648
rs342821-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,AL162595.2,"Food allergy (parent-of-origin effect)","food allergy measurement, parental genotype effect measurement",GCST005721,1:229229244
rs1036504-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,IQCE,"Food allergy (parent-of-origin effect)","food allergy measurement, parental genotype effect measurement",GCST005721,7:2570131
rs1243607-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,"RNASE9, AL163195.3","Food allergy (parent-of-origin effect)","food allergy measurement, parental genotype effect measurement",GCST005721,14:20581400
rs4235235-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,AC079298.3,"Food allergy (maternal genetic effects)","food allergy measurement, parental genotype effect measurement",GCST005724,4:154182301
rs976078-<b>?</b>,"4 x 10-7",,NR,'-,'-,'-,AL445255.1,"Food allergy (maternal genetic effects)","food allergy measurement, parental genotype effect measurement",GCST005724,13:82963398
rs2092470-<b>?</b>,"7 x 10-6",,NR,'-,'-,'-,AL034428.1,"Food allergy (maternal genetic effects)","food allergy measurement, parental genotype effect measurement",GCST005724,20:16726753
rs13276608-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,CYP7B1,"Food allergy (maternal genetic effects)","food allergy measurement, parental genotype effect measurement",GCST005724,8:64769294
rs493642-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,AP001970.1,"Food allergy (maternal genetic effects)","food allergy measurement, parental genotype effect measurement",GCST005724,11:123226678
rs9898058-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,FAM117A,"Milk allergy","milk allergy measurement",GCST002788,17:49741459
rs17032597-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,"AC009474.2, AC009474.1","Milk allergy","milk allergy measurement",GCST002788,2:66827983
rs78405116-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,LSP1,"Milk allergy","milk allergy measurement",GCST002788,11:1871332
rs10994613-<b>?</b>,"5 x 10-6",,NR,'-,'-,'-,LINC00845,"Milk allergy","milk allergy measurement",GCST002788,10:61020369
rs7833294-<b>?</b>,"7 x 10-6",,NR,'-,'-,'-,"RNA5SP266, IMPAD1","Milk allergy","milk allergy measurement",GCST002788,8:57095722
rs7717393-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,SGCD,"Egg allergy","egg allergy measurement",GCST002789,5:156326904
rs5961136-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,ITIH6,"Egg allergy","egg allergy measurement",GCST002789,X:54776087
rs250585-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,COG7,"Egg allergy","egg allergy measurement",GCST002789,16:23389755
rs16823014-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,ABCB11,"Egg allergy","egg allergy measurement",GCST002789,2:168961203
